t_sec,loop_dt_ms,inst_fps
2.088452606201171875e+02,3.389215469360351562e+01,2.950535392761230469e+01
2.088764190673828125e+02,3.116583824157714844e+01,3.208641433715820312e+01
2.089125671386718750e+02,3.614521026611328125e+01,2.766618347167968750e+01
2.089439697265625000e+02,3.140592575073242188e+01,3.184112548828125000e+01
2.089788665771484375e+02,3.489184570312500000e+01,2.865999221801757812e+01
2.090108184814453125e+02,3.195714950561523438e+01,3.129190254211425781e+01
2.090446014404296875e+02,3.377986145019531250e+01,2.960343742370605469e+01
2.090770568847656250e+02,3.245425415039062500e+01,3.081260108947753906e+01
2.091141204833984375e+02,3.705906677246093750e+01,2.698394966125488281e+01
2.091792907714843750e+02,6.516885375976562500e+01,1.534475326538085938e+01
2.092138214111328125e+02,3.454208374023437500e+01,2.895019340515136719e+01
2.092817230224609375e+02,6.789183807373046875e+01,1.472931098937988281e+01
2.093185577392578125e+02,3.683423995971679688e+01,2.714865303039550781e+01
2.093817901611328125e+02,6.324362945556640625e+01,1.581186962127685547e+01
2.094448089599609375e+02,6.300616455078125000e+01,1.587146282196044922e+01
2.094794616699218750e+02,3.465604782104492188e+01,2.885499191284179688e+01
2.095145721435546875e+02,3.510594177246093750e+01,2.848520660400390625e+01
2.095800933837890625e+02,6.553005981445312500e+01,1.526017189025878906e+01
2.096144104003906250e+02,3.431701660156250000e+01,2.914006233215332031e+01
2.096775970458984375e+02,6.318998336791992188e+01,1.582529258728027344e+01
2.097140350341796875e+02,3.642916870117187500e+01,2.745053100585937500e+01
2.097816772460937500e+02,6.764077758789062500e+01,1.478398132324218750e+01
2.098464202880859375e+02,6.475210571289062500e+01,1.544351291656494141e+01
2.098794097900390625e+02,3.297996520996093750e+01,3.032143974304199219e+01
2.098943939208984375e+02,1.498603820800781250e+01,6.672877502441406250e+01
2.099265594482421875e+02,3.216576385498046875e+01,3.108895492553710938e+01
2.099599456787109375e+02,3.338813781738281250e+01,2.995075607299804688e+01
2.099920043945312500e+02,3.205490112304687500e+01,3.119647789001464844e+01
2.100252227783203125e+02,3.321719360351562500e+01,3.010489082336425781e+01
2.100580444335937500e+02,3.283000183105468750e+01,3.045994377136230469e+01
2.100943450927734375e+02,3.630399703979492188e+01,2.754517555236816406e+01
2.101258392333984375e+02,3.148198127746582031e+01,3.176420211791992188e+01
2.101617736816406250e+02,3.594898986816406250e+01,2.781719398498535156e+01
2.101921997070312500e+02,3.042292594909667969e+01,3.286994934082031250e+01
2.102254943847656250e+02,3.329396057128906250e+01,3.003547668457031250e+01
2.102597503662109375e+02,3.425907897949218750e+01,2.918934249877929688e+01
2.102937469482421875e+02,3.399085998535156250e+01,2.941967391967773438e+01
2.103283233642578125e+02,3.456997680664062500e+01,2.892683410644531250e+01
2.103626098632812500e+02,3.429317474365234375e+01,2.916032218933105469e+01
2.103924713134765625e+02,2.985906600952148438e+01,3.349066543579101562e+01
2.104271850585937500e+02,3.471469879150390625e+01,2.880624198913574219e+01
2.104600982666015625e+02,3.291821289062500000e+01,3.037832069396972656e+01
2.104958496093750000e+02,3.574180603027343750e+01,2.797844123840332031e+01
2.105266723632812500e+02,3.082799911499023438e+01,3.243804550170898438e+01
2.105638427734375000e+02,3.717303466796875000e+01,2.690122032165527344e+01
2.105952911376953125e+02,3.145122528076171875e+01,3.179526329040527344e+01
2.106264343261718750e+02,3.112983703613281250e+01,3.212352371215820312e+01
2.106619873046875000e+02,3.555512237548828125e+01,2.812534332275390625e+01
2.106963500976562500e+02,3.437400054931640625e+01,2.909175491333007812e+01
2.107270355224609375e+02,3.067398071289062500e+01,3.260092163085937500e+01
2.107634735107421875e+02,3.644895553588867188e+01,2.743562889099121094e+01
2.107951507568359375e+02,3.167223930358886719e+01,3.157339096069335938e+01
2.108290100097656250e+02,3.386592864990234375e+01,2.952820205688476562e+01
2.108602294921875000e+02,3.120779991149902344e+01,3.204327011108398438e+01
2.108964691162109375e+02,3.624820709228515625e+01,2.758757209777832031e+01
2.109291076660156250e+02,3.264069366455078125e+01,3.063660430908203125e+01
2.109625091552734375e+02,3.339004516601562500e+01,2.994904518127441406e+01
2.109951019287109375e+02,3.260111999511718750e+01,3.067379188537597656e+01
2.110279388427734375e+02,3.283500671386718750e+01,3.045530128479003906e+01
2.110615081787109375e+02,3.357100677490234375e+01,2.978760910034179688e+01
2.110971832275390625e+02,3.567719268798828125e+01,2.802911186218261719e+01
2.111290588378906250e+02,3.187370300292968750e+01,3.137382507324218750e+01
2.111633758544921875e+02,3.431105804443359375e+01,2.914512252807617188e+01
2.111970214843750000e+02,3.364586639404296875e+01,2.972133255004882812e+01
2.112296295166015625e+02,3.260731506347656250e+01,3.066796493530273438e+01
2.112630462646484375e+02,3.341984558105468750e+01,2.992234039306640625e+01
2.112971191406250000e+02,3.407501983642578125e+01,2.934701156616210938e+01
2.113283386230468750e+02,3.121113777160644531e+01,3.203984451293945312e+01
2.113661041259765625e+02,3.776788711547851562e+01,2.647751998901367188e+01
2.113964691162109375e+02,3.036594390869140625e+01,3.293162918090820312e+01
2.114310913085937500e+02,3.463220596313476562e+01,2.887485694885253906e+01
2.114632568359375000e+02,3.215789794921875000e+01,3.109655952453613281e+01
2.114980773925781250e+02,3.481983947753906250e+01,2.871925926208496094e+01
2.115296478271484375e+02,3.157019615173339844e+01,3.167544555664062500e+01
2.115649414062500000e+02,3.529787063598632812e+01,2.833032035827636719e+01
2.115978088378906250e+02,3.286480712890625000e+01,3.042768478393554688e+01
2.116314849853515625e+02,3.367400360107421875e+01,2.969649887084960938e+01
2.116646118164062500e+02,3.313422393798828125e+01,3.018027496337890625e+01
2.117002563476562500e+02,3.564476776123046875e+01,2.805460929870605469e+01
2.117314453125000000e+02,3.118419647216796875e+01,3.206752395629882812e+01
2.117645111083984375e+02,3.306913375854492188e+01,3.023967933654785156e+01
2.117979888916015625e+02,3.347682952880859375e+01,2.987140655517578125e+01
2.118309478759765625e+02,3.294992446899414062e+01,3.034908294677734375e+01
2.118647460937500000e+02,3.380918502807617188e+01,2.957776069641113281e+01
2.118995819091796875e+02,3.482985687255859375e+01,2.871099853515625000e+01
2.119325866699218750e+02,3.300308990478515625e+01,3.030019378662109375e+01
2.119663391113281250e+02,3.375697326660156250e+01,2.962350845336914062e+01
2.119979553222656250e+02,3.161001205444335938e+01,3.163554573059082031e+01
2.120309143066406250e+02,3.296398925781250000e+01,3.033613395690917969e+01
2.120650787353515625e+02,3.416800689697265625e+01,2.926714515686035156e+01
2.120998077392578125e+02,3.472805023193359375e+01,2.879516601562500000e+01
2.121317596435546875e+02,3.194975852966308594e+01,3.129914093017578125e+01
